,documents,documents_processed,document_tokens,first_100_letters,documents_processed_2,url
571,,,,Python coding for CV,,
572,,,,yellowbrick CVScores,,
573,,,,Fundamentals of hyperparameters,,
574,,,,Hyperparameters tuning,,
575,,,,Coding for Hyperparameters tuning,,
576,,,,Steps of ML modelling,,
577,,,,Understanding Warnings,,
578,,,,Data preparation or data preprocessing,,
579,,,,Linear Transformation or Scaling,,
580,,,,Non-linear Transformations (for dealing with Skewed data),,
581,,,,Basics of Logistic regression ,,
582,,,,Meaning of odds and logit function in probability,,
583,,,,Logistic function or sigmoid function,,
584,,,,Working of parametric model,,
585,,,,Benefits of Parametric ML models:,,
586,,,,Limitations of Parametric ML Models:,,
587,,,,Working of Non-parametric model ,,
588,,,,Benefits of Nonparametric Machine Learning Algorithms:,,
589,,,,Limitations of Nonparametric Machine Learning Algorithms:,,
590,,,,Classification model and probability,,
591,,,,Generative models and Discriminative models ,,https://developers.google.com/machine-learning/gan/images/generative_v_discriminative.png
592,,,,Coding for Logistic regression ,,
593,,,,Confusion Matrix,,https://www.dataschool.io/content/images/2015/01/confusion_matrix2.png
594,,,,"Accuracy, Precision, Recall and F1-Score",,
595,,,,Importance of F1 Score,,
596,,,,Checking Cross-validation scores,,
597,,,,List of ML models,,
598,,,,Important Terminology in Decision Tree ML Model,,https://upload.wikimedia.org/wikipedia/commons/thumb/e/eb/Decision_Tree.jpg/220px-Decision_Tree.jpg
599,,,,Steps of Decision tree algorithm,,
600,,,,Methods to measure the similarity of child nodes,,
601,,,,Fitting Decision tree classifier,,
602,,,,Fitting Decision tree regressor,,
603,,,,Coding for Visualizing Decision Tree,,
604,,,,Advantages of Decision tree,,
605,,,,Disadvantages of Decision tree,,
606,,,,Basics of Ensembles of decision trees ,,
607,,,,Ensemble techniques,,
608,,,,Bagging technique,,https://upload.wikimedia.org/wikipedia/commons/7/76/Random_forest_diagram_complete.png
609,,,,Boosting technique,,https://www.researchgate.net/publication/353525179/figure/fig3/AS:1117057345175559@1643338633196/Boosting-technique-Boosting-machine-learning-Wikipedia-2021_Q640.jpg
610,,,,Extreme Gradient Boosting ,,
611,,,,Stacking technique,,
612,,,,Python coding for Ensembles of decision trees,,
613,,,,Finding feature importance,,
614,,,,Classification report,,
615,,,,Ways to improve random forest accuracy,,
616,,,,Basics of Model Explainability,,
617,,,,Black Box Model vs. White Box Model,,
618,,,,Explainable AI,,
619,,,,Importance of explainability,,
620,,,,A. Scope of explainability,,
621,,,,B. Approach of explainability,,
622,,,,Techniques or Libraries for Explainability in ML (mainly for black box models),,
623,,,,Local Interpretable Model-Agnostic Explanations (LIME),,
624,,,,Shapley Additive Explanations (SHAP),,
625,,,,Implementing SHAP,,
626,,,,Explain Like I'm 5 (ELI5),,
627,,,,Other techniques for Explainability in ML,,
628,,,,Basics of KNN,,
629,,,,Euclidean Distance,,https://upload.wikimedia.org/wikipedia/commons/thumb/5/55/Euclidean_distance_2d.svg/1200px-Euclidean_distance_2d.svg.png
630,,,,Working of kNN,,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e7/KnnClassification.svg/220px-KnnClassification.svg.png
631,,,,Ways to select the value of k in the kNN Algorithm,,
632,,,,Disadvantages of kNN Algorithm:,,
633,,,,Python coding for KNN,,
634,,,,Receiver operating characteristic and AUC,,https://upload.wikimedia.org/wikipedia/commons/thumb/1/13/Roc_curve.svg/220px-Roc_curve.svg.png
635,,,,Knn for recommender system,,
636,,,,Sparse matrix and Dense matrix,,
637,,,,Basics of Naive Bayes,,
638,,,,Bayes theorem,,
639,,,,Understanding of Naive Bayes,,
640,,,,Text Pre-processing,,
641,,,,One hot encoding,,
642,,,,Python coding for Naive Bayes,,
643,,,,Generalization Error,,
644,,,,Basics of SVM,,https://upload.wikimedia.org/wikipedia/commons/thumb/7/72/SVM_margin.png/300px-SVM_margin.png
645,,,,Kernel function ,,
646,,,,"Hinge loss function, hypersurface and hyperplane",,
647,,,,Python coding for SVM,,
648,,,,Tuning the SVM,,
649,,,,Advantages of SVM,,
650,,,,Disadvantages of SVM,,
651,,,,Basics of Artificial Neural Network,,
652,,,,"Perceptron, neuron, node, unit",,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e4/Artificial_neural_network.svg/560px-Artificial_neural_network.svg.png
653,,,,Model coefficients,,
654,,,,The components of neural network: ,,
655,,,,Backward propagation,,
656,,,,Understanding epochs,,
657,,,,Batch size and iteration,,
658,,,,Optimal accuracy in Neural Network,,
659,,,,Applications of Neural Networks:,,
660,,,,Steps involved in a Neural Network,,
661,,,,Libraries for ANN model,,
662,,,,"Define, Create and Compile ANN model",,
663,,,,# fit the ANN model on the dataset,,
664,,,,# evaluate the ANN model,,
665,,,,Plotting roc_curve,,
666,,,,Understanding Feature engineering,,
667,,,,Importance of Feature Engineering,,
668,,,,Basic EDA,,
669,,,,Understanding Outliers,,
670,,,,Understanding Clustering Algorithm,,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d1/KMeans-density-data.svg/199px-KMeans-density-data.svg.png
671,,,,Python coding for Kmeans,,
672,,,,Few issues of Kmeans,,
673,,,,Expectation-Maximization approach ,,
674,,,,Silhouette score for finding best no. of clusters ,,
675,,,,Elbow method for finding best no. of clusters ,,
676,,,,Plotting Clusters,,
677,,,,Features of KMeans model,,
678,,,,Density-based clustering,,
679,,,,"recency, frequency and monetary (RFM)",,
680,,,,Basics of Hierarchical clustering,,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ad/Hierarchical_clustering_simple_diagram.svg/418px-Hierarchical_clustering_simple_diagram.svg.png
681,,,,Types of hierarchical clustering:,,
682,,,,Proximity matrix,,
683,,,,Understanding Linkage,,
684,,,,Finding out no. of clusters from visualization,,
685,,,,Python coding for Hierarchical clustering,,
686,,,,Basics of PCA,,
687,,,,Drawback of PCA,,
688,,,,Python Coding of PCA,,
689,,,,Understanding the important features in PCA,,
690,,,,Deeper Understanding of PCA,,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f5/GaussianScatterPCA.svg/300px-GaussianScatterPCA.svg.png
691,,,,Math behind PCA,,
692,,,,PCA and Truncated SVD ,,
693,,,,Scree Plot,,
694,,,,Trace of matrix,,
695,,,,Basics of Anomaly detection ,,
696,,,,Assumptions in Anomaly detection ,,
697,,,,Finding global outliers,,
698,,,,1. Univariate Anomaly Detection,,
699,,,,Python coding for Isolation forest,,
700,,,,2. Multivariate Anomaly Detection,,
701,,,,Finding local outliers-LOF,,
702,,,,Visual representation of univariate anomalies,,
703,,,,Deeper Understanding of Anomalies,,
704,,,,Natural Language Understanding (NLU) in five dimensions,,
705,,,,Important Applications of NLP,,
706,,,,Feature engineering in NLP,,
707,,,,n-gram in NLP,,
708,,,,Understanding TF-IDF,,
709,,,,RNN or LSTM in NLP,,
710,,,,Libraries for NLP,,
711,,,,Right order for a text classification ,,
712,,,,Measuring the complexity of a sentence,,
713,,,,Basics of Topic modeling,,
714,,,,Basic assumptions of all topic models:,,
715,,,,Libraries for Topic Modeling,,
716,,,,Understanding LDA,,
717,,,,Plate Notation,,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d3/Latent_Dirichlet_allocation.svg/300px-Latent_Dirichlet_allocation.svg.png
718,,,,Python coding of LDA model ,,
719,,,,Visualization of LDA,,
720,,,,Cosine Similarity,,
721,,,,Basics of Recommender System,,
722,,,,Popular Recommender Systems,,
723,,,,Collaborative Filtering,,
724,,,,Content-Based Filtering,,
725,,,,Hybrid Approach,,
726,,,,Implementation strategies of Collaborative Filtering,,
727,,,,Latent factor models,,
728,,,,Matrix Factorization (SVD),,
729,,,,Implementation of SVD,,
730,,,,metrics used for evaluation of Recommender systems,,
731,,,,Shortcoming of content-based recommender systems,,
732,,,,Basics of Time Series,,https://upload.wikimedia.org/wikipedia/commons/thumb/0/05/Tuberculosis_incidence_US_1953-2009.png/220px-Tuberculosis_incidence_US_1953-2009.png
733,,,,Components of Time Series,,https://itfeature.com/wp-content/uploads/2020/03/component-of-time-series.png
734,,,,Multiplicative Model,,
735,,,,Ways to approach a Time Series Prediction Problem,,
736,,,,1. Naive Forecast,,
737,,,,2. Moving Average (MA),,
738,,,,3. Weighted average ,,
739,,,,4. Exponential smoothing,,
740,,,,5. Double exponential smoothing,,
741,,,,Assumption in Time Series,,
742,,,,6. Econometric approach,,
743,,,,Understanding ARIMA,,
744,,,,Understanding SARIMA,,
745,,,,Libraries for Time Series Analysis,,
746,,,,Machine learning approach in Time series,,
747,,,,Downside of SARIMA,,
748,,,,Understanding Leakage,,
749,,,,Prophet or Facebook Prophet,,
750,,,,Cross Validation in Time Series,,
751,,,,Demand pattern classification in time series,,
752,,,,Product forecastability,,
753,,,,Basics of case study,,
754,,,,Categorization of case studies,,
755,,,,Guesstimate (Problem Solving Approach),,
756,,,,Meaning of Diagnosis  ,,
757,,,,ML in Healthcare,,
758,,,,Geometric Mean Length of Stay (GMLOS),,
759,,,,Features for the prediction of LOS,,
760,,,,Understanding Fraud,,
761,,,,WAYS TO CAPTURE FRAUDULENT BEHAVIOURS,,
762,,,,Social Engineering Scams,,
763,,,,Synthetic Minority Over-sampling Technique (SMOTE),,
764,,,,C4 -Curious Case of Customer Credit,,
765,,,,Overall Objective of Credit Risk,,
766,,,,Predictive Analytics of Credit Risk,,
767,,,,Prescriptive Analytics,,
768,,,,Metrics that help in evaluating our model’s accuracy,,
769,,,,Model Health using KS Scores,,
770,,,,Decision Making using Risk Bins,,
771,,,,C4 -Curious Case of Customer Contacts ,,
772,,,,Important Features in E-commerce,,
773,,,,Predictive Analytics in  E-commerce,,
774,,,,Understanding UNIX Operating System,,
775,,,,Kernel and shell of UNIX,,
776,,,,Understanding LINUX Operating System,,
777,,,,Time Complexity and  Space Complexity,,
778,,,,Ways to connect to an EC2 instance,,
779,,,,Security of Remote Computer,,
780,,,,Git Bash Understanding,,
781,,,,Introduction to Repository,,
782,,,,"
Steps to connect to an EC2 instance",,
783,,,,Understanding IP address,,
784,,,,Basic Bash or Linux commands,,
785,,,,Few UNIX commands during project setup,,
786,,,,File Permission Handling for security,,
787,,,,UNIX command in colab notebook with ! Mark,,
788,,,,Creating a Simple Module,,
789,,,,Basics of modular programming,,
790,,,,One-Off Script Layout,,
791,,,,Installable Package Layout,,
792,,,,App with Internal Packages Layout,,
793,,,,Data Science Project Layout,,
794,,,,Using cookiecutter for packaging,,
795,,,,"stdin, stdout and stderr",,
796,,,,Reading a static data file from inside a Python package,,
797,,,,Code for Creating python library ,,
798,,,,Testing during packaging of our own python library,,
799,,,,CVCS and DVCS,,
800,,,,GitHub workflow,,
801,,,,Steps of creating local git repository,,
802,,,,Concept of Branch,,
803,,,,Synchronising local git repository with Github (remote),,
804,,,,Merging operation in git,,
805,,,,Continuous Integration/ Continuous Deployment or Delivery (CI/CD),,
806,,,,Understanding API,,
807,,,,Types of web pages,,
808,,,,Machine Learning Services,,
809,,,,Types of API (Package for creating Apps),,
810,,,,Basics of Flask,,
811,,,,Benefits of using the Flask framework,,
812,,,,Popular HTTP Requests,,
813,,,,Use of Virtual Environment,,
814,,,,Creating a virtual environment,,
815,,,,Understanding pip install,,
816,,,,Creating a Web App in Flask,,
817,,,,Jinja techniques,,
818,,,,Ways to edit script code (.py file) in Colab notebook (alternative to vs code),,
819,,,,Common file formats used in Data Science:,,
820,,,,Flaskr as a basic blog application,,
821,,,,Hyper Text Markup Language,,
822,,,,Understanding FastAPI,,
823,,,,WSGI vs ASGI,,
824,,,,Features of FastAPI,,
825,,,,Pydantic Data Model,,
826,,,,FastAPI Working with SQL (RDBMS),,
827,,,,VS Code for python coding,,
828,,,,Ways to use python in local machine through git bash (when anaconda installed),,
829,,,,Docker Basics,,
830,,,,Image or Docker Image,,
831,,,,Container or Docker Container,,
832,,,,Introduction to dockerhub,,
833,,,,Ways to install docker in EC2 instance,,
834,,,,Basic Docker Commands,,
835,,,,Docker or Container volume,,
836,,,,Docker Bridge Networking and Port Mapping,,
837,,,,Docker Compose,,
838,,,,Docker swarm,,
839,,,,Understanding Microservices,,
840,,,,API Gateway,,
841,,,,Development of Microservices,,
842,,,,Kubernetes,,
843,,,,Python code for creating a Streamlit file,,
844,,,,Creating a file for streamlit inside the session,,
845,,,,Creating a Streamlit Project,,
846,,,,Computer Networking,,
847,,,,Deploying streamlit app in Google Cloud,,
848,,,,Deploying streamlit app in AWS EC2,,
849,,,,ngrok,,
850,,,,4 Phases of ML Lifecycle,,
851,,,,Challenges with ML during development,,
852,,,,Challenges with ML in production,,
853,,,,Data drift and Model drift,,
854,,,,Machine learning engineering,,
855,,,,Cloud computing advantages,,
856,,,,Cloud service models,,
857,,,,runtime system,,
858,,,,CPU vs GPU,,
859,,,,Azure machine learning platform ,,
860,,,,Azure ML Workspace and Azure ML piplines,,
861,,,,Connecting to azure ml,,
862,,,,Blob storage,,
863,,,,File handling in python,,
864,,,,Different cloud deployment models,,
865,,,,DevOps and MLOps,,
866,,,,Agile software development,,
867,,,,Key components of MLOps,,
868,,,,Advantages of MLOps,,
869,,,,Key outcomes of MLOps,,
870,,,,Model registry and Metadata ,,
871,,,,MLFLow Basics,,
872,,,,Apache Spark (PySpark),,
873,,,,Advantages of Spark,,
874,,,,Spark Modules,,
875,,,,RDD operations,,
876,,,,Anatomy of Spark Application,,
877,,,,Spark application coding (in colab),,
878,,,,Directed Acyclic Graph (DAG),,
879,,,,Azure Databricks,,
880,,,,Spark application deploy modes,,
881,,,,Apache Airflow,,
882,,,,Introduction to Jenkins,,
883,,,,Use of Apache Airflow,,
884,,,,Airflow Components,,
885,,,,Web Server and Scheduler,,
886,,,,Metadata Database,,
887,,,," Executor, Worker and Operator",,
888,,,,Applications of Airflow,,
889,,,,Understanding Celery,,
890,,,,Basic of Deep Neural Networks,,
891,,,,"ANN, CNN and RNN",,
892,,,,Channels of RGB image,,
893,,,,Writing sigmoid function,,
894,,,,Deeper understanding of deep neural network,,
895,,,,Writing initialize weight function ,,
896,,,,Writing optimization function,,
897,,,,Loss function and Cost Function in DNN,,
898,,,,Writing propagate function,,
899,,,,Computational graph,,
900,,,,Calculation behind gradient descent,,
901,,,,Need of vectorization,,
902,,,,Vectorized implementation of forward propagation for layer l,,
903,,,,Notations in DNN,,
904,,,,SIMD units,,
905,,,,Writing predict function,,
906,,,,Element-wise matrix multiplication,,
907,,,,Notation for multiple layers,,
908,,,,Activation functions,,
909,,,,Linear and nonlinear activation function,,
910,,,,Keras and TensorFlow,,
911,,,,Problem of zero initialization,,
912,,,,Initializing parameters for the model (for deep network),,
913,,,, Deep Learning capabilities:,,
914,,,,RNN for machine translation,,
915,,,,Layer dimension notation in Neural Network,,
916,,,,Weight notation in Neural Network,,
917,,,,Bias notation in Neural Network,,
918,,,,Network notation for i th experience,,
919,,,,Forward propagation and backpropagation,,
920,,,,"shallow"" neural network",,
921,,,,Basics of Improving Deep Neural Networks,,
922,,,,Basic 'recipe' for all machine learning models,,
923,,,,DNN model complexity,,
924,,,,Dropout regularization,,
925,,,,Implementing dropout ('inverted dropout'): ,,
926,,,,Data Augmentation,,
927,,,,Early stopping technique to stop overfitting,,
928,,,,Importance of normalized inputs,,
929,,,,Exploding and Vanishing gradient,,
930,,,,Gradient checking,,
931,,,,Out of Bag (OOB) score,,
932,,,,Optimization Algorithms,,
933,,,,1. Mini-Batch gradient descent,,
934,,,,> Notation of Mini-batch,,
935,,,,> Choosing our mini-batch size,,
936,,,,2. Gradient Descent with momentum (AdaGrad),,
937,,,,Exponentially weighted averages,,
938,,,,"
3. RMSprop",,
939,,,,4. Adam Optimization Algorithm ,,
940,,,,5. Learning rate decay,,
941,,,,Problem of local optima,,
942,,,,Hyperparameters tuning in DNN ,,
943,,,,Batch normalization,,
944,,,,Multi-class classification,,
945,,,,Deep learning programming framework,,
946,,,,Python coding for DNN,,
947,,,,Different vector operations in tensor flow,,
948,,,,"Cross entropy loss function (for classification problem), ",,
949,,,,Google Text to Speech,,
950,,,,Basics Structuring ML project,,
951,,,,Orthogonalization Basics,,
952,,,,Fundamental assumptions of supervised learning,,
953,,,,Setting up our goal,,
954,,,,Positional Encoding in Transformer,,
955,,,,Changing dev/test sets and metrics,,
956,,,,Comparing to human level performance,,
957,,,,Human level error and avoidable bias,,
958,,,,Error Analysis,,
959,,,,Transformer Network,,
960,,,,Mismatched training and dev/test data (if the training and dev data are from different distribution),,
961,,,,"Learning from multiple tasks
 
Ways to learn from multiple tasks:",,
962,,,,1. Transfer learning ,,
963,,,,2. Multi-task learning,,
964,,,,End to end deep learning,,
965,,,,Pros and cons of end to end deep learning,,
966,,,,Difference between Multi-class and multi-task learning,,
967,,,,Testing the model for the entire dataset,,
968,,,,Perceptual task ,,
969,,,,Basics of Pixel ,,
970,,,,Convolution on Black-and-white Image,,
971,,,,Convolution operation,,
972,,,,Padding in CNN,,
973,,,,Strided Convolution,,
974,,,,Convolution on RGB image (Coloured image),,
975,,,,Types of layer in a convolutional network:,,
976,,,,Pooling Layer,,
977,,,,Necessity of Convolution,,
978,,,,Calulating the size of output volume for convolution or pooling,,
979,,,,Notation for multiple CONV layers,,
980,,,,Common behavior of all the CNN architecture,,
981,,,,LeNet-5 architecture,,
982,,,,AlexNet architecture,,
983,,,,VGG-16 architecture,,
984,,,,ResNet and Inception architecture,,
985,,,,Network in Network,,
986,,,,Using open-source implementation,,
987,,,,Common Augmentation methods,,
988,,,,Sources of data for any ML model,,
989,,,,Object detection ,,
990,,,,Tips for winning competitions,,
991,,,,Importing Kaggle dataset in colab,,
992,,,,Common steps for pre-processing Image Data,,
993,,,,Building blocks of deep learning model,,
994,,,,Difference between image classification and object detection,,
995,,,,Image Classification with Localization,,
996,,,,Landmark detection,,
997,,,,Convolutional implementation of sliding windows for detecting multiple objects,,
998,,,,Object detection algorithm,,
999,,,,1. YOLO algorithm,,
1000,,,,Steps in YOLO algorithm,,
1001,,,,2. Intersection over union  algorithm,,
1002,,,,3. Non-max supression,,
1003,,,,4. Anchor box algorithm,,
1004,,,,Face Verification ,,
1005,,,,Face Recognition,,
1006,,,,Siamese network,,
1007,,,,Training set for calculating Triplet loss ,,
1008,,,,Neural Style Transfer,,
1009,,,,Finding generated image,,
1010,,,,Style and style matrix ,,
1011,,,,Examples of Models with sequence data,,
1012,,,,Notation in RNN,,
1013,,,,Vectorization of words,,
1014,,,,Problem of a standard neural network in sequence data,,
1015,,,,Summary of RNN,,
1016,,,,Types of RNN,,
1017,,,,Language Modelling,,
1018,,,,Sampling or creating sequence (sentence) from a trained language model (RNN),,
1019,,,,Character-level language model,,
1020,,,,Opening image file in python,,
1021,,,,Gated Recurrent Unit,,
1022,,,,Long short-term memory (LSTM) ,,
1023,,,,Bidirectional RNN (BRNN),,
1024,,,,Deep RNN,,
1025,,,,Natural language generation (NLG) ,,
1026,,,,Huggingface Transformer,,
1027,,,,Word Embedding,,
1028,,,,Trigger word detection,,
1029,,,,Visualizing word embeddings,,
1030,,,,Embedding matrix ,,
1031,,,,Transfer learning and word embeddings,,
1032,,,,Learning word embeddings,,
1033,,,,Context/target pairs,,
1034,,,,Word2Vec model,,
1035,,,,Problem with softmax classification,,
1036,,,,Negative Sampling,,
1037,,,,GloVe model,,
1038,,,,The problem of bias in word embeddings,,
1039,,,,Use of Pre-trained model for getting word embeddings,,
1040,,,,Machine translation,,
1041,,,,Beam Search,,
1042,,,,Refinements to beam search,,
1043,,,,BFS and DFS,,
1044,,,,Error analysis on beam search,,
1045,,,,Attention model,,
1046,,,,Blue Score,,
1047,,,,Speech recognition,,
1048,,,,Basic Rule of CTC based technique,,
1049,,,,Trigger word detection,,
1050,,,,Knowledge of data science to understand human psychology and intelligence,,
1051,,,,Prabir Debnath as drona for tellme model,,
1052,,,,Help Lines,,
1053,,,,Practical implementation of hypothesis test,,
1054,,,,Evaluation Metrics for Imbalanced Classification,,
1055,,,,Operational monitoring and functional monitoring in MLE,,
1056,,,,K-means++ Algorithm,,
1057,,,,One-hot encoding vs Label Encoding,,
1058,,,,Stopping Criteria for K-Means Clustering,,
1059,,,,Swamping and Masking,,
1060,,,,Potential or Use of Anomalies,,
1061,,,,A/B Testing,,
1062,,,,Bag of words (BOW),,
1063,,,,Part-of-speech (POS) tagging,,
1064,,,,Similarity between LDA and PCA,,
1065,,,,Performance of a machine learning model,,
1066,,,,Understanding Inheritance,,
1067,,,,Under-sampling: Tomek links,,
1068,,,,Basics of data analysis and data mining,,
1069,,,,Window Function,,
1070,,,,Common Table Expression (CTE),,
1071,,,,L2 regularization and weight decay,,
1072,,,,Techniques to reduce overfitting,,
1073,,,,SQL IN Operator,,
1074,,,,SQL indexing,,
1075,,,,Writing function in SQL,,
1076,,,,Power Query in Excel or Power BI,,
1077,,,,Random forest hyperparameters,,
1078,,,,SVR hyperparameters,,
1079,,,,TFIDF hyperparameters,,
1080,,,,Word2Vec hyperparameters,,
1081,,,,LDA hyperparameters,,
1082,,,,Difference between PARTITION BY and GROUP BY in SQL,,
1083,,,,CROSS JOIN in sql,,
1084,,,,Database or SQL Normalization,,
1085,,,, SQL aggregate functions,,
1086,,,,Longest substring of vowels,,
